"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"RC0402FR-0710KL","R0402_MD","","RC0402FR-0710KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","10k","*","R?","RES SMD 10K OHM 1% 1/16W 0402"
"RC0402FR-0711K8L","R0402_MD","","RC0402FR-0711K8L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","11.8k","*","R?","RES SMD 11.8K OHM 1% 1/16W 0402"
"RC0402FR-07162KL","R0402_MD","","RC0402FR-07162KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","162k","*","R?","RES SMD 162K OHM 1% 1/16W 0402"
"RC0402FR-071K18L","R0402_MD","","RC0402FR-071K18L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","1.18k","*","R?","RES SMD 1.18K OHM 1% 1/16W 0402"
"RC0402FR-071K43L","R0402_MD","","RC0402FR-071K43L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","1.43k","*","R?","RES SMD 1.43K OHM 1% 1/16W 0402"
"RC0402FR-071KL","R0402_MD","","RC0402FR-071KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","1k","*","R?","RES SMD 1K OHM 1% 1/16W 0402"
"RC0402FR-07205KL","R0402_MD","","RC0402FR-07205KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","205k","*","R?","RES SMD 205K OHM 1% 1/16W 0402"
"RC0402FR-0721KL","R0402_MD","","RC0402FR-0721KL","","Yageo","","smd","1/16w","","","","","","","","","","","","","","","1%","21K","*","R?","RES SMD 21K OHM 1% 1/16W 0402"
"RC0402FR-07309KL","R0402_MD","","RC0402FR-07309KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","309k","*","R?","RES SMD 309K OHM 1% 1/16W 0402"
"RC0402FR-07309RL","R0402_MD","","RC0402FR-07309RL","","Yageo","","SMD","1/16","","","","","","","","","","","","","","","1%","309R","*","R?","RES SMD 309 OHM 1% 1/16W 0402"
"RC0402FR-0730K9L","R0402_MD","","RC0402FR-0730K9L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","30.9k","*","R?","RES SMD 30.9K OHM 1% 1/16W 0402"
"RC0402FR-0747K5L","R0402_MD","","RC0402FR-0747K5L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","47.5k","*","R?","RES SMD 47.5K OHM 1% 1/16W 0402"
"RC0402FR-0747KL","R0402_MD","","RC0402FR-0747KL","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","47k","*","R?","RES SMD 47K OHM 1% 1/16W 0402"
"RC0402FR-075K9L","R0402_MD","","RC0402FR-075K9L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","5.9k","*","R?","RES SMD 5.9K OHM 1% 1/16W 0402"
"RC0402FR-0786K6L","R0402_MD","","RC0402FR-0786K6L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","86.6k","*","R?","RES SMD 86.6K OHM 1% 1/16W 0402"
"RC0402FR-078K06L","R0402_MD","","RC0402FR-078K06L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","8.06k","*","R?","RES SMD 8.06K OHM 1% 1/16W 0402"
"RC0402FR-079K31L","R0402_MD","","RC0402FR-079K31L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","9.31k","*","R?","RES SMD 9.31K OHM 1% 1/16W 0402"
"RC0402JR-070RL","R0402_HD","","RC0402JR-070RL","","Yageo","","SMD","1/16W","Mouser","Digi-Key","Farnell","","","","","603-RC0402JR-070RL","311-0.0JRCT-ND","2131799","","","","","1%","0R","*","R?","RES SMD 0.0OHM JUMPER 1/16W 0402"
"RC0603FR-0710K5L","R0603_MD","","RC0603FR-0710K5L","","Yageo","","SMD","1/10W","Newark","Mouser","Digi-Key","Farnell","","","","66R1989","603-RC0603FR-0710K5L","311-10.5KHRCT-ND","1574014","","","","1%","10.5k","*","R?","RES SMD 10.5K OHM 1% 1/10W 0603"
