"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"70AAJ-6-M0G","70AAJ-6-M","","70AAJ-6-M0G","","","","Bourns Inc.","","SMD","","6","","2.54","","","","Arrow","Digi-Key","Newark","","","","7lHY8Z9iJ7ehCG-uFxTz8bl57Oub8073nNKU8Lg2F1c","70AAJ-6-M0GCT-ND","71R7446","","","","70AAJ-6-M0G","*","CN?","MODULAR CONTACT SMD MALE"
"77311-118-01LF","PIN BAR 1 2.54mm 180 GRAUS","","77311-118-01LF","","","","Samtec Inc","","PTH","","1","","2.54mm","","","","Arrow","Digi-Key","","","","","8JYtbyLTNBfNwownT033Um8OX-YYJyPCDgwj8uW9lyM","77311-118-01LF-ND","","","","","TSW-101-05-T-S","*","JN?","HEADER BERGSTIK"
"87583-3010RPALF","","","87583-3010RPALF","","","","Amphenol FCI","","PTH","","5","","0.65mm","","","","","","","","","","","","","","","","87583-3010RPALF","*","CN?","USB - A USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle, Horizontal"
"87606-804LF","HEADER 2X4 2.54mm 180 GRAUS 8.5mm length","","87606-804LF","","","","Amphenol FCI","","PTH","","8","","2.54mm","","","","Mouser","Digi-Key","","","","","649-87606-804LF","609-5145-ND","","","","","87606-804LF","*","CN?","CONN RCPT 8POS .100" DBL PCB"
"B16B-PUDSS-1(LF)(SN)","HEADER 2X8 2mm 180 GRAUS","","B16B-PUDSS-1(LF)(SN)","","","","JST Sales America Inc","","PTH","","16","","2mm","","","","Farnell","Mouser","Newark","Digi-Key","","","2399154","N/A","53X3086","455-2503-ND","","","B16B-PUDSS-1(LF)(SN)","*","CN?","CONN HDR TOP 16 POS W/BOSS 2MM"
"B2B-PH-K-S","HEADER PH TOP 2POS 2MM","","B2B-PH-K-S","","","","JST Sales America Inc","","PTH","","2","","2mm","","","","Digi-Key","Farnell","Mouser","Newark","","","455-1704-ND","9491856","N/A","37K9940","","","B2B-PH-K-S","*","CN?","CONN HEADER PH TOP 2POS 2MM"
"B3B-PH-K-S(LF)(SN)","HEADER PH TOP 3POS 2MM","","B3B-PH-K-S(LF)(SN)","","","","JST Sales America Inc","","PTH","","3","","2mm","","","","Digi-Key","","","","","","455-1705-ND","","","","","","B3B-PH-K-S(LF)(SN)","*","CN?","CONN HEADER PH TOP 3POS 2MM"
"B5B-PH-K-S(LF)(SN)","HEADER PH TOP 5POS 2MM","","B5B-PH-K-S(LF)(SN)","","","","JST Sales America Inc","","PTH","","5","","2mm","","","","Digikey","Newark","Farnell","","","","455-1707-ND","37K9966","9492445","","","","B5B-PH-K-S(LF)(SN)","*","CN?","CONN HEADER PH TOP 6POS 2MM"
"B6B-PH-K-S(LF)(SN)","HEADER PH TOP 6POS 2MM","","B6B-PH-K-S(LF)(SN)","","","","JST Sales America Inc","","PTH","","6","","2mm","","","","Digi-Key","Farnell","Newark","","","","455-1708-ND","9492453","37K9974","","","","B6B-PH-K-S(LF)(SN)","*","CN?","CONN HEADER PH TOP 6POS 2MM"
"BPDDI-25MM-20","PIN BAR 2X10 2.54mm 180 GRAUS 25mm length","","BPDDI-25MM-20","","","","Metaltex","","PTH","","20","","2.54mm","","","","","","","","","","","","","","","","BPDDI-25MM-20","*","CN?","PIN BAR 2x10 25MM LENGTH 2.54MM PITCH"
