"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CL10B103KO8NNNC","C0603_MD","","Ceramic","","CL10B103KO8NNNC","X7R","","Samsung Electro-Mechanics America, Inc","SMD","Farnell","Digi-Key","","","","","2280661","1276-1926-1-ND","","","","","10000pF","16V","*","C?","CAP CER 10000PF 16V 10% X7R 0603"
"CL10B104KA8NNNC","C0603_MD","","Ceramic","","CL10B104KA8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-1006-1-ND","CL10B104KA8NNNC**MULT1","","","","","0.1uF","25V","*","C?","CAP CER 0.1UF 25V X7R 0603"
"CL10B104MB8NNNC","C0603_MD","","Ceramic","","CL10B104MB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Arrow","","","","","1276-1941-1-ND","Kjzk4c3iaGHKgu91OSCceSDVbUWFj7k3fFXuGJFKbeQZVywxIBNyoAQstvnyfZZ0","","","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V X7R 0603"
"CL10B105MO8NNWC","C0603_MD","","Ceramic","","CL10B105MO8NNWC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","","","","","","1276-6524-1-ND","","","","","","1uF","16V","*","C?","CAP CER 1UF 16V X7R 0603"
"CL10B153KB8SFNC","C0603_MD","","Ceramic","","CL10B153KB8SFNC","X7R","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1967-1-ND","","","","","","15nF","50V","*","C?","CAP CER 0.015UF 50V 10% X7R 0603"
"CL10B222KB8WPNC","C0603_MD","","Ceramic","","CL10B222KB8WPNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Avnet","","","","","1276-6530-1-ND","CL10B222KB8WPNC","","","","","2200pF","50V","*","C?","CAP CER 2200PF 50V X7R 0603"
"CL10B223KB8NNNC","C0603_MD","","Ceramic","","CL10B223KB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Arrow","Digi-Key","","","","","CL10B223KB8NNNC**MULT1","1276-1104-1-ND","","","","","0.022uF","50V","*","C?","CAP CER 0.022UF 50V X7R 0603"
"CL10B224KO8NNNC","C0603_MD","","Ceramic","","CL10B224KO8NNNC","*","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1112-1-ND","","","","","","0.22uF","16V","*","C?","CAP CER 0.22UF 16V 10% X7R 0603"
"CL10B392KB8NNNC","C0603_MD","","Ceramic","","CL10B392KB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Arrow","Digikey","","","","","CL10B392KB8NNNC**MULT1","1276-2051-1-ND","","","","","3900pF","50V","*","C?","CAP CER 3900PF 50V X7R 0603"
"CL10B472KB8NNNC","C0603_MD","","Ceramic","","CL10B472KB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Arrow","Digi-Key","","","","","CL10B472KB8NNNC**MULT1","1276-1098-1-ND","","","","","4700pF","50V","*","C?","CAP CER 4700PF 50V X7R 0603"
